O3,NO,SO2,PM10
27,112,13,34
27,126,13,29
15,90,21,33
9,470,44,101
20,167,48,30
8,211,16,44
5,434,54,109
12,50,22,25
18,192,44,75
7,199,46,76
19,76,18,29
26,38,21,33
25,190,10,23
11,132,18,42
25,34,5,18
30,108,14,51
20,104,22,28
22,159,32,51
18,172,20,41
30,163,21,29
24,93,8,25
35,84,3,20
20,166,24,49
26,152,13,34
35,72,18,40
30,96,16,26
31,52,12,39
24,45,23,41
29,63,9,26
18,81,16,40
24,107,6,21
19,178,58,102
14,58,120,36
21,67,57,45
5,129,26,45
10,149,19,38
9,351,28,64
8,62,79,36
14,59,53,46
32,20,21,34
33,29,22,99
23,242,59,93
5,188,44,95
6,141,46,67
7,94,116,89
8,90,133,95
23,40,24,54
15,108,35,80
8,27,18,59
14,136,9,37
9,141,85,59
6,261,35,90
23,32,23,44
6,155,23,35
22,148,13,39
6,223,52,84
9,89,57,46
7,335,32,85
19,164,25,177
5,162,47,69
4,66,59,48
7,64,87,36
8,102,9,41
10,118,57,71
4,87,89,44
20,49,11,17
31,49,24,34
33,176,6,24
35,159,21,37
26,143,15,34
35,347,24,76
23,113,15,38
30,112,6,24
9,385,29,81
6,338,31,89
19,115,12,47
29,141,19,45
7,248,44,100
23,77,3,29
23,56,7,36
18,230,17,62
7,310,43,89
5,143,25,80
4,104,31,94
4,139,29,47
22,60,19,31
15,95,28,26
33,113,24,41
34,150,22,54
35,73,15,25
28,85,14,39
26,191,31,56
31,26,13,22
28,10,21,20
30,149,12,22
33,115,15,34
15,568,32,106
8,530,69,106
30,167,19,48
24,89,17,32
25,49,12,27
29,121,14,35
25,126,12,39
9,273,35,50
10,226,36,49
28,185,5,15
26,119,10,12
32,27,43,18
31,129,12,36
37,62,9,16
37,159,10,24
29,44,19,26
33,11,34,15
32,39,66,43
10,435,54,113
8,115,41,41
11,254,26,55
25,57,11,29
10,111,27,40
26,138,7,20
35,119,7,28
36,130,14,25
25,78,38,33
27,119,30,35
22,174,19,42
27,108,18,27
27,59,28,37
34,37,7,32
31,90,33,36
39,144,16,40
27,126,86,42
26,110,24,29
34,46,29,25
37,58,13,19
35,128,7,25
33,131,20,39
24,344,50,98
30,44,21,21
24,398,48,71
25,74,16,26
24,39,6,18
30,192,57,76
34,119,24,19
36,157,23,36
28,288,37,77
34,116,19,36
26,104,7,28
24,98,14,28
27,182,10,39
39,125,6,35
38,71,13,40
15,82,32,31
15,95,43,26
23,105,36,33
32,41,14,25
33,117,18,36
24,148,18,36
26,134,12,27
33,168,14,26
32,143,10,35
30,142,15,40
28,105,19,36
36,145,16,22
29,189,15,44
18,257,29,66
23,54,16,40
26,64,11,29
26,167,18,30
35,28,23,59
13,119,15,21
21,126,11,26
12,109,9,44
7,330,24,76
5,206,12,58
14,119,8,24
18,306,10,56
9,158,19,27
9,40,39,42
4,60,22,42
6,135,40,77
3,228,21,84
12,230,14,53
30,68,7,18
25,55,7,19
22,53,7,20
27,87,5,21
4,363,40,84
3,197,20,68
13,153,18,70
20,66,12,24
31,86,9,29
23,136,10,36
10,57,13,24
10,70,13,25
3,61,84,40
2,110,59,36
5,47,59,43
2,82,44,55
2,65,45,35
1,78,12,36
22,95,8,35
27,60,3,17
21,85,12,34
7,186,26,71
3,257,22,74
4,560,32,141
3,364,54,59
5,548,56,79
9,103,15,26
23,81,7,23
22,57,4,22
30,49,2,23
23,42,3,27
27,40,3,45
18,117,9,48
16,105,9,28
24,114,11,40
8,131,31,39
11,197,16,23
20,55,2,24
5,193,15,42
30,53,9,22
31,25,6,26
21,269,9,46
8,237,86,48
5,157,200,46
20,24,4,34
20,72,3,59
2,106,13,43
2,254,39,90
1,130,32,60
3,63,88,33
2,66,58,38
2,70,85,43
15,62,51,38
15,85,19,40
17,106,22,54
16,223,31,67
6,83,30,49
13,69,15,44
29,57,8,32
13,40,36,40
3,422,33,143
3,295,34,76
2,236,31,152
1,128,26,66
2,92,114,48
6,66,58,72
15,33,10,51
20,65,10,84
22,42,8,64
23,45,10,67
28,31,5,39
32,37,3,27
35,24,41,51
30,14,15,50
33,57,4,31
23,63,10,50
23,65,18,50
23,69,5,52
18,83,5,47
21,89,4,23
18,65,21,76
7,129,29,61
16,82,23,51
8,98,43,57
19,212,42,70
7,136,26,38
20,159,14,34
18,192,12,29
29,48,7,29
20,52,4,35
34,33,3,38
34,115,10,25
35,113,7,18
38,53,4,44
38,46,7,41
30,104,11,61
15,124,17,35
7,113,11,66
28,78,8,26
33,98,12,51
16,173,35,56
20,509,30,103
6,321,34,177
21,106,17,53
20,27,17,34
32,22,9,36
24,34,5,25
35,94,6,84
38,29,3,29
29,155,7,32
13,146,15,40
28,144,6,41
8,178,16,55
27,49,4,24
30,31,3,24
29,110,9,43
3,136,15,39
10,170,13,100
3,107,8,26
29,21,4,24
22,479,14,85
27,305,24,73
34,62,5,24
20,175,18,62
22,143,7,28
20,52,5,22
21,156,17,32
26,187,10,52
30,175,5,44
5,188,13,39
5,257,25,63
23,88,5,22
36,128,6,29
26,134,8,34
33,150,3,37
26,286,26,41
28,120,8,35
4,218,6,33
8,261,14,46
3,308,18,96
4,369,27,90
3,214,71,94
5,115,79,37
10,107,4,40
22,128,6,53
27,96,6,34
15,148,10,36
29,75,4,23
16,210,19,62
3,252,21,98
5,325,21,96
27,23,3,7
24,34,1,28
29,25,1,29
29,29,2,17
34,48,9,18
33,24,2,30
25,146,5,33
3,100,21,45
18,47,6,14
23,133,5,32
23,92,5,21
26,52,3,25
33,12,2,23
37,23,4,21
23,83,10,27
30,25,8,33
35,10,1,25
34,29,6,34
12,88,12,31
19,90,42,53
29,88,7,82
32,97,8,88
13,101,60,60
2,124,24,64
12,106,18,45
13,360,11,66
7,320,22,135
2,189,33,141
3,151,16,71
9,124,19,53
22,44,12,37
25,123,10,32
12,419,88,100
16,152,24,41
3,202,40,88
3,344,27,88
4,487,44,119
5,481,43,154
6,248,25,101
13,318,12,76
4,370,30,108
3,232,88,124
3,225,59,99
17,65,15,49
26,87,8,35
29,166,17,43
34,199,8,46
18,97,8,35
25,68,11,62
26,148,10,35
20,136,32,31
36,183,11,51
35,105,3,40
33,158,12,42
22,132,12,25
31,186,5,30
30,107,5,34
32,127,26,62
22,73,22,43
35,55,5,26
38,116,11,32
29,66,10,30
36,54,15,37
36,118,15,35
36,18,7,26
38,26,3,23
44,34,3,30
35,83,9,32
19,72,31,42
18,64,4,23
21,66,31,20
23,37,36,36
8,132,34,135
6,145,12,109
16,133,27,67
17,113,22,64
33,39,10,30
15,293,10,65
15,141,12,41
10,277,12,66
5,474,15,118
3,226,21,71
4,347,22,96
9,62,16,27
9,78,12,47
6,93,9,40
12,50,14,30
12,118,23,40
21,308,33,74
3,119,51,56
11,49,89,31
16,53,42,34
4,63,25,47
2,137,10,64
33,71,11,53
32,10,5,24
30,123,10,37
36,26,7,34
35,21,5,20
31,149,12,47
30,185,22,60
28,64,6,28
33,114,11,33
32,50,13,36
12,107,16,52
6,85,23,51
17,195,10,51
2,99,54,49
21,120,15,35
16,81,9,37
28,62,4,28
21,47,9,27
25,53,9,20
35,22,2,26
35,323,26,101
3,158,31,82
2,138,18,69
27,148,20,64
29,37,2,20
27,11,3,24
35,62,23,25
15,45,32,42
17,207,49,93
12,167,40,63
14,115,12,43
16,32,8,38
10,87,15,43
23,41,5,29
25,145,14,53
22,112,4,30
28,110,7,31
26,96,5,41
29,36,4,25
29,22,6,25
31,62,4,24
32,77,5,36
31,42,4,31
11,143,10,59
25,137,15,56
31,20,13,135
33,104,2,37
28,131,8,28
24,112,26,68
9,148,15,67
27,129,19,74
34,181,9,34
34,101,6,26
29,141,4,29
28,57,7,34
15,115,11,71
33,95,6,43
37,73,2,107
37,36,4,20
19,92,3,19
10,155,24,37
16,72,8,22
15,68,5,40
29,155,4,65
32,346,13,132
17,244,11,123
24,64,10,31
33,129,9,43
35,105,5,28
31,140,15,51
24,118,9,64
33,203,7,29
21,93,7,26
19,30,5,14
29,117,8,34
4,501,35,163
3,345,27,112
3,153,21,65
3,142,18,47
7,81,10,30
19,78,7,51
2,213,21,80
18,214,13,49
5,465,18,112
22,79,7,31
24,392,15,89
22,101,9,33
21,32,5,21
17,317,28,96
3,249,37,87
9,176,15,32
29,204,9,48
33,54,4,25
30,38,3,27
28,227,8,58
4,289,42,109
2,158,21,44
4,472,18,105
3,271,14,42
13,288,17,67
26,183,9,44
35,54,8,32
30,49,7,26
26,143,8,51
19,121,8,31
